SeqNum,UtcDate,UtcTime,AcqTime,PDOP,Long,Lat,Alt.m.,TotCount.cps.,Potassium...,Uranium.ppm.,Thorium.ppm.,UpDet.cps.,X.meters.,X.meters..1,xy
72357,19/3/2024,1:02:07,999993,2.1014,149.886205,-30.2637996,294.4103,1674.0178,4.72911,1.5073,11.45434,6.00365,294.433,100,TRUE
72358,19/3/2024,1:02:08,999993,2.10138,149.8862127,-30.2637803,294.4482,1687.19453,2.47451,5.27294,19.9872,12.0085,294.471,100,TRUE
72359,19/3/2024,1:02:09,999993,2.10136,149.88622,-30.2637605,294.6309,1707.55046,3.8871000000000002,0.07716,9.82452,4.00364,294.654,100,TRUE
72360,19/3/2024,1:02:10,999994,3.70212,149.8862227,-30.26374,295.4162,1652.34203,3.42457,1.18607,7.91085,5.00104,295.439,100,TRUE
72361,19/3/2024,1:02:11,999992,2.10132,149.8862334,-30.263722,294.8914,1632.81079,2.56011,9.92638,5.19637,15.01665,294.914,100,TRUE
72362,19/3/2024,1:02:12,999994,2.1013,149.8862427,-30.263704,294.2554,1657.67467,3.14696,1.56344,16.80477,7.00285,294.278,100,TRUE
72363,19/3/2024,1:02:13,999993,2.10128,149.8862524,-30.2636847,293.9599,1686.68817,3.42413,-0.39361,18.80092,5.00204,293.983,100,TRUE
72364,19/3/2024,1:02:14,999993,2.10126,149.886261,-30.2636663,293.9011,1599.8127,3.07576,4.31118,9.36587,9.00457,293.924,100,TRUE
72365,19/3/2024,1:02:15,999993,2.10124,149.8862688,-30.263647,294.0351,1653.6669,3.09014,2.99644,18.45057,9.00908,294.058,100,TRUE
72366,19/3/2024,1:02:16,999994,2.10122,149.8862778,-30.2636287,293.3924,1666.51162,2.97801,0.97972,15.07908,6.00184,293.415,100,TRUE
72367,19/3/2024,1:02:17,999992,2.1012,149.8862861,-30.2636105,293.496,1660.67922,3.41951,-0.97708,17.07701,4.00164,293.519,100,TRUE
72368,19/3/2024,1:02:18,999994,2.10117,149.8862936,-30.2635928,293.8903,1629.47794,3.04476,3.20272,11.27696,8.00726,293.913,100,TRUE
72369,19/3/2024,1:02:19,999993,2.10115,149.8863018,-30.2635748,293.7588,1630.99164,4.20004,-1.67407,4.648,1.00061,293.782,100,TRUE
